segment; count
0; 4
1; 7
2; 5
3; 5
4; 8
5; 4
6; 4
7; 5
8; 5
9; 5
10; 3
11; 5
12; 5
13; 5
14; 6
15; 8
16; 5
17; 5
18; 8
19; 5
20; 5
21; 4
22; 4
23; 4
24; 4
25; 5
26; 8
27; 5
28; 4
29; 7
30; 7
31; 5
32; 7
33; 5
34; 6
35; 4
36; 6
37; 5
38; 4
39; 4
40; 7
41; 5
42; 5
43; 8
44; 4
45; 5
46; 5
47; 5
48; 5
49; 4
50; 5
51; 5
52; 4
53; 5
54; 7
55; 7
56; 6
57; 9
58; 6
59; 5
60; 4
61; 5
62; 5
63; 5
64; 5
65; 7
66; 4
67; 4
68; 7
69; 5
70; 5
71; 6
72; 4
73; 5
74; 2
75; 5
76; 6
77; 6
78; 6
79; 9
80; 5
81; 4
82; 6
83; 4
84; 5
85; 5
86; 5
87; 5
88; 4
89; 5
90; 7
91; 4
92; 5
93; 6
94; 7
95; 5
96; 8
97; 6
98; 5
99; 4
100; 6
101; 5
102; 5
103; 5
104; 7
105; 4
106; 5
107; 7
108; 5
109; 4
110; 5
111; 5
112; 5
113; 4
114; 4
115; 6
116; 4
117; 5
118; 9
119; 7
120; 6
121; 8
122; 5
123; 5
124; 5
125; 4
126; 5
127; 4
128; 5
129; 7
130; 4
131; 5
132; 6
133; 6
134; 5
135; 7
136; 5
137; 4
138; 3
139; 6
140; 6
141; 6
142; 6
143; 6
144; 4
145; 5
146; 7
147; 5
148; 4
149; 5
150; 5
151; 5
152; 4
153; 4
154; 7
155; 5
156; 5
157; 8
158; 6
159; 4
160; 7
161; 6
162; 6
163; 5
164; 5
165; 5
166; 4
167; 5
168; 7
169; 4
170; 5
171; 8
172; 5
173; 5
174; 4
175; 4
176; 4
177; 4
178; 5
179; 6
180; 5
181; 5
182; 8
183; 6
184; 6
185; 7
186; 5
187; 5
188; 5
189; 5
190; 4
191; 4
192; 4
193; 7
194; 5
195; 5
196; 8
197; 5
198; 5
199; 7
200; 5
201; 5
202; 3
203; 6
204; 6
205; 5
206; 5
207; 7
208; 4
209; 5
210; 8
211; 5
212; 5
213; 4
214; 5
215; 5
216; 5
217; 5
218; 7
219; 4
220; 4
221; 7
222; 7
223; 5
224; 8
225; 6
226; 6
227; 5
228; 5
229; 4
230; 5
231; 5
232; 8
233; 5
234; 4
235; 6
236; 4
237; 5
238; 5
239; 5
240; 5
241; 3
242; 5
243; 5
244; 4
245; 6
246; 8
247; 6
248; 6
249; 8
250; 4
251; 4
252; 4
253; 5
254; 5
255; 5
256; 5
257; 7
258; 4
259; 5
260; 7
261; 6
262; 4
263; 8
264; 5
265; 5
266; 3
267; 5
268; 6
269; 6
270; 5
271; 8
272; 5
273; 4
274; 7
275; 5
276; 5
277; 5
278; 4
279; 5
280; 4
281; 5
282; 7
283; 4
284; 5
285; 6
286; 7
287; 6
288; 9
289; 6
290; 6
291; 5
292; 5
293; 5
294; 4
295; 5
296; 6
297; 4
298; 5
299; 7
300; 5
301; 4
302; 6
303; 5
304; 5
305; 3
306; 4
307; 5
308; 6
309; 6
310; 9
311; 5
312; 4
313; 7
314; 5
315; 5
316; 5
317; 4
318; 5
319; 4
320; 5
321; 7
322; 4
323; 5
324; 8
325; 7
326; 5
327; 6
328; 4
